Date,Close,TWD,TAIEX,SOX,TAIBOR,DIJA
2010-03-02,59.9,32,7597.62,349.39,0.16,10405.98
2010-03-03,60,31.96,7629.52,346.37,0.16,10396.76
2010-03-04,59.2,31.95,7569.8,346.55,0.16,10444.14
2010-03-05,60.4,31.86,7666.26,351.53,0.16,10566.2
2010-03-08,61.2,31.85,7762.27,351.21,0.16,10552.52
2010-03-09,61.3,31.8,7770.59,350.47,0.16,10564.38
2010-03-10,61.4,31.76,7779.08,358.04,0.16,10567.33
2010-03-11,61.4,31.69,7749.66,357.16,0.17,10611.84
2010-03-12,60.8,31.73,7748.33,355.37,0.17,10624.69
2010-03-15,59.8,31.82,7634.92,350.43,0.17,10642.15
2010-03-16,59.7,31.76,7695.63,359.87,0.17,10685.98
2010-03-17,60.5,31.72,7847.84,364.06,0.17,10733.67
2010-03-18,60.4,31.75,7886.34,361.64,0.18,10779.17
2010-03-19,60,31.73,7897.91,355.67,0.18,10741.98
2010-03-22,59,31.79,7835.98,364.25,0.18,10785.89
2010-03-23,59.6,31.81,7811.87,372.47,0.19,10888.83
2010-03-24,60.6,31.84,7822.71,365.37,0.2,10836.15
2010-03-25,61.5,31.83,7838.1,364.83,0.2,10841.21
2010-03-26,62,31.83,7876.86,362.89,0.21,10850.36
2010-03-29,62.2,31.78,7947.45,366.37,0.21,10895.86
2010-03-30,62.2,31.74,7962.22,368.9,0.22,10907.42
2010-03-31,61.5,31.77,7920.06,366.57,0.22,10856.63
2010-04-01,62.1,31.74,8013.09,366.93,0.22,10927.07
2010-04-02,62.4,31.74,8025.93,375.52,0.22,10969.99
2010-04-06,63.4,31.67,8089.65,375.52,0.22,10969.99
2010-04-07,63.5,31.55,8121.78,376.89,0.22,10897.52
2010-04-08,62.3,31.55,8057.6,371.47,0.22,10927.07
2010-04-09,62.7,31.53,8092.03,375.76,0.22,10997.35
2010-04-12,63.1,31.5,8117.75,378.97,0.23,11005.97
2010-04-13,62.9,31.53,8029.73,381.33,0.23,11019.42
2010-04-14,63.8,31.4,8097.13,397.73,0.23,11123.11
2010-04-15,64.4,31.36,8171.94,398.86,0.23,11144.57
2010-04-16,63,31.43,8111.57,393.75,0.24,11018.66
2010-04-19,62.6,31.49,7854.22,389.66,0.24,11092.05
2010-04-20,62.8,31.39,7900.42,395.71,0.24,11117.06
2010-04-21,62.4,31.35,7990.53,391.42,0.24,11124.92
